category	de_genes
GO:0051707	FBGN0029167,FBGN0001226,FBGN0262733,FBGN0264437,FBGN0283437,FBGN0038149,FBGN0033367,FBGN0261800,FBGN0262057,FBGN0261560,FBGN0028990,FBGN0043841,FBGN0004507,FBGN0011274,FBGN0263873,FBGN0027594,FBGN0032638,FBGN0267488,FBGN0005660,FBGN0262579,FBGN0001114,FBGN0013576,FBGN0039593,FBGN0031055,FBGN0010395,FBGN0003317,FBGN0000146,FBGN0031888,FBGN0041180,FBGN0039494,FBGN0261547,FBGN0034476,FBGN0086358,FBGN0011674,FBGN0001297,FBGN0033402,FBGN0034793,FBGN0028540,FBGN0035850,FBGN0033483,FBGN0014033,FBGN0038391,FBGN0003117,FBGN0087035,FBGN0041183,FBGN0010246,FBGN0025574,FBGN0243512,FBGN0001197,FBGN0260936,FBGN0040308,FBGN0052133,FBGN0053329,FBGN0086357,FBGN0026319,FBGN0040660,FBGN0283531,FBGN0052185,FBGN0031973,FBGN0026323,FBGN0030051,FBGN0260632,FBGN0040070
GO:0009617	FBGN0001226,FBGN0283437,FBGN0038149,FBGN0033367,FBGN0261800,FBGN0261560,FBGN0004507,FBGN0011274,FBGN0263873,FBGN0027594,FBGN0032638,FBGN0005660,FBGN0013576,FBGN0039593,FBGN0031055,FBGN0003317,FBGN0000146,FBGN0039494,FBGN0086358,FBGN0011674,FBGN0001297,FBGN0033402,FBGN0034793,FBGN0033483,FBGN0014033,FBGN0003117,FBGN0010246,FBGN0025574,FBGN0243512,FBGN0001197,FBGN0260936,FBGN0040308,FBGN0052133,FBGN0053329,FBGN0026319,FBGN0040660,FBGN0283531,FBGN0052185,FBGN0026323,FBGN0030051
GO:0042742	FBGN0001226,FBGN0283437,FBGN0038149,FBGN0033367,FBGN0261800,FBGN0261560,FBGN0004507,FBGN0011274,FBGN0263873,FBGN0027594,FBGN0032638,FBGN0005660,FBGN0013576,FBGN0031055,FBGN0003317,FBGN0000146,FBGN0039494,FBGN0086358,FBGN0011674,FBGN0001297,FBGN0033402,FBGN0034793,FBGN0033483,FBGN0014033,FBGN0003117,FBGN0010246,FBGN0025574,FBGN0243512,FBGN0001197,FBGN0260936,FBGN0040308,FBGN0052133,FBGN0026319,FBGN0040660,FBGN0283531,FBGN0052185,FBGN0026323,FBGN0030051
GO:0098542	FBGN0029167,FBGN0001226,FBGN0262733,FBGN0264437,FBGN0283437,FBGN0038149,FBGN0033367,FBGN0261800,FBGN0262057,FBGN0261560,FBGN0028990,FBGN0043841,FBGN0004507,FBGN0011274,FBGN0263873,FBGN0027594,FBGN0032638,FBGN0267488,FBGN0005660,FBGN0262579,FBGN0001114,FBGN0013576,FBGN0031055,FBGN0010395,FBGN0003317,FBGN0000146,FBGN0031888,FBGN0041180,FBGN0039494,FBGN0261547,FBGN0034476,FBGN0086358,FBGN0011674,FBGN0001297,FBGN0033402,FBGN0034793,FBGN0028540,FBGN0035850,FBGN0033483,FBGN0014033,FBGN0038391,FBGN0003117,FBGN0087035,FBGN0041183,FBGN0010246,FBGN0025574,FBGN0243512,FBGN0001197,FBGN0260936,FBGN0040308,FBGN0052133,FBGN0026319,FBGN0040660,FBGN0283531,FBGN0052185,FBGN0031973,FBGN0026323,FBGN0030051,FBGN0260632,FBGN0040070
GO:0009611	FBGN0029167,FBGN0283437,FBGN0033367,FBGN0013763,FBGN0028990,FBGN0039113,FBGN0027594,FBGN0036896,FBGN0262579,FBGN0001114,FBGN0003447,FBGN0261278,FBGN0032451,FBGN0020414,FBGN0001297,FBGN0031268,FBGN0003041,FBGN0020416,FBGN0286785,FBGN0243512,FBGN0028646,FBGN0032026,FBGN0022702,FBGN0283531,FBGN0031973,FBGN0000547,FBGN0010909
GO:0006952	FBGN0029167,FBGN0001226,FBGN0262733,FBGN0264437,FBGN0283437,FBGN0038149,FBGN0033367,FBGN0261800,FBGN0262057,FBGN0034638,FBGN0261560,FBGN0028990,FBGN0043841,FBGN0004507,FBGN0011274,FBGN0263873,FBGN0027594,FBGN0032638,FBGN0267488,FBGN0005660,FBGN0262579,FBGN0001114,FBGN0013576,FBGN0031055,FBGN0010395,FBGN0003317,FBGN0000146,FBGN0031888,FBGN0041180,FBGN0039494,FBGN0261547,FBGN0034476,FBGN0086358,FBGN0011674,FBGN0001297,FBGN0033402,FBGN0034793,FBGN0028540,FBGN0035850,FBGN0033483,FBGN0014033,FBGN0038391,FBGN0003117,FBGN0087035,FBGN0041183,FBGN0010246,FBGN0025574,FBGN0243512,FBGN0001197,FBGN0260936,FBGN0040308,FBGN0052133,FBGN0026319,FBGN0040660,FBGN0283531,FBGN0052185,FBGN0031973,FBGN0026323,FBGN0030051,FBGN0260632,FBGN0040070
GO:0006749	FBGN0039109,FBGN0063498,FBGN0063492,FBGN0034354,FBGN0031117,FBGN0063493,FBGN0027590,FBGN0038020,FBGN0030361,FBGN0063494,FBGN0063491,FBGN0250732
GO:0032501	FBGN0026562,FBGN0039155,FBGN0003360,FBGN0029167,FBGN0000071,FBGN0038832,FBGN0001226,FBGN0023479,FBGN0264753,FBGN0011260,FBGN0262733,FBGN0024288,FBGN0283658,FBGN0035147,FBGN0261673,FBGN0003748,FBGN0037468,FBGN0283437,FBGN0037290,FBGN0039109,FBGN0001137,FBGN0001225,FBGN0040271,FBGN0033367,FBGN0039257,FBGN0036985,FBGN0261800,FBGN0265276,FBGN0034885,FBGN0050069,FBGN0013763,FBGN0034638,FBGN0261560,FBGN0004369,FBGN0040388,FBGN0022160,FBGN0261284,FBGN0030805,FBGN0028514,FBGN0004396,FBGN0053516,FBGN0000567,FBGN0038198,FBGN0005593,FBGN0032956,FBGN0003502,FBGN0043364,FBGN0039714,FBGN0028990,FBGN0004893,FBGN0034718,FBGN0086365,FBGN0261238,FBGN0038476,FBGN0015371,FBGN0259749,FBGN0037680,FBGN0040752,FBGN0004507,FBGN0044047,FBGN0004108,FBGN0011274,FBGN0286071,FBGN0005640,FBGN0011722,FBGN0263873,FBGN0027594,FBGN0030037,FBGN0260745,FBGN0013272,FBGN0267252,FBGN0261808,FBGN0086355,FBGN0000299,FBGN0033782,FBGN0036007,FBGN0267488,FBGN0001122,FBGN0030598,FBGN0036896,FBGN0033504,FBGN0027348,FBGN0045852,FBGN0285963,FBGN0020248,FBGN0029095,FBGN0010470,FBGN0001114,FBGN0086906,FBGN0041342,FBGN0036732,FBGN0003447,FBGN0264693,FBGN0038381,FBGN0266452,FBGN0261278,FBGN0260486,FBGN0260933,FBGN0013765,FBGN0266418,FBGN0010395,FBGN0003525,FBGN0263916,FBGN0010316,FBGN0039485,FBGN0033113,FBGN0003317,FBGN0015777,FBGN0286782,FBGN0265512,FBGN0010382,FBGN0259246,FBGN0261563,FBGN0000146,FBGN0032451,FBGN0011259,FBGN0033649,FBGN0010894,FBGN0020493,FBGN0014906,FBGN0016075,FBGN0024150,FBGN0024250,FBGN0031888,FBGN0000405,FBGN0040290,FBGN0035001,FBGN0010097,FBGN0010223,FBGN0283680,FBGN0046763,FBGN0087007,FBGN0026084,FBGN0000565,FBGN0037240,FBGN0033926,FBGN0031461,FBGN0051352,FBGN0261547,FBGN0031637,FBGN0020386,FBGN0004197,FBGN0261545,FBGN0050085,FBGN0034476,FBGN0262103,FBGN0259734,FBGN0265042,FBGN0022382,FBGN0015795,FBGN0036752,FBGN0038545,FBGN0265048,FBGN0032899,FBGN0036641,FBGN0002609,FBGN0020414,FBGN0041604,FBGN0011674,FBGN0086687,FBGN0000256,FBGN0026179,FBGN0001297,FBGN0000286,FBGN0029092,FBGN0020618,FBGN0004652,FBGN0051361,FBGN0011606,FBGN0011710,FBGN0003891,FBGN0003507,FBGN0262081,FBGN0029114,FBGN0033268,FBGN0030993,FBGN0033448,FBGN0010300,FBGN0053556,FBGN0000490,FBGN0033033,FBGN0029002,FBGN0031268,FBGN0033402,FBGN0003041,FBGN0028397,FBGN0031148,FBGN0025740,FBGN0265274,FBGN0250785,FBGN0001977,FBGN0053138,FBGN0015903,FBGN0003557,FBGN0011206,FBGN0262870,FBGN0263118,FBGN0034793,FBGN0051116,FBGN0011592,FBGN0020391,FBGN0032078,FBGN0036059,FBGN0036688,FBGN0267975,FBGN0262127,FBGN0032420,FBGN0024273,FBGN0034636,FBGN0034894,FBGN0029881,FBGN0266417,FBGN0034013,FBGN0035708,FBGN0034970,FBGN0004387,FBGN0029147,FBGN0014029,FBGN0010314,FBGN0030305,FBGN0035132,FBGN0031816,FBGN0033153,FBGN0031988,FBGN0035850,FBGN0000139,FBGN0010768,FBGN0034221,FBGN0043362,FBGN0000928,FBGN0033483,FBGN0051216,FBGN0261811,FBGN0004650,FBGN0050344,FBGN0004872,FBGN0023129,FBGN0029823,FBGN0261445,FBGN0053558,FBGN0002543,FBGN0046687,FBGN0034249,FBGN0259683,FBGN0013997,FBGN0263593,FBGN0035608,FBGN0038391,FBGN0025865,FBGN0030343,FBGN0016693,FBGN0020416,FBGN0003117,FBGN0037896,FBGN0262582,FBGN0014163,FBGN0286785,FBGN0087035,FBGN0003862,FBGN0051005,FBGN0010246,FBGN0243512,FBGN0001197,FBGN0036257,FBGN0260936,FBGN0020764,FBGN0016926,FBGN0003053,FBGN0027932,FBGN0003366,FBGN0085434,FBGN0035083,FBGN0284221,FBGN0011754,FBGN0032421,FBGN0010194,FBGN0037884,FBGN0036801,FBGN0041191,FBGN0037705,FBGN0052133,FBGN0001257,FBGN0028671,FBGN0005636,FBGN0053193,FBGN0086357,FBGN0035969,FBGN0032699,FBGN0012034,FBGN0023169,FBGN0029970,FBGN0036147,FBGN0261015,FBGN0004512,FBGN0029870,FBGN0026319,FBGN0000535,FBGN0029504,FBGN0261285,FBGN0025352,FBGN0022702,FBGN0283531,FBGN0033890,FBGN0086370,FBGN0261983,FBGN0035539,FBGN0004861,FBGN0028717,FBGN0000147,FBGN0265011,FBGN0031399,FBGN0001942,FBGN0027620,FBGN0037672,FBGN0037917,FBGN0000578,FBGN0020249,FBGN0030685,FBGN0002945,FBGN0030960,FBGN0086253,FBGN0026323,FBGN0040765,FBGN0026409,FBGN0004456,FBGN0031990,FBGN0035769,FBGN0031097,FBGN0014141,FBGN0033032,FBGN0060296,FBGN0016032,FBGN0030588,FBGN0020545,FBGN0261931,FBGN0004870,FBGN0030412,FBGN0085450,FBGN0263200,FBGN0260632,FBGN0036199,FBGN0035167,FBGN0000244,FBGN0011236,FBGN0040070,FBGN0265523,FBGN0259228,FBGN0000547,FBGN0002773,FBGN0035023,FBGN0020887,FBGN0263197,FBGN0010909,FBGN0041171,FBGN0003308,FBGN0004597
GO:0005829	FBGN0027279,FBGN0011260,FBGN0262733,FBGN0261552,FBGN0051363,FBGN0035147,FBGN0001224,FBGN0261596,FBGN0001225,FBGN0031322,FBGN0039464,FBGN0033367,FBGN0037153,FBGN0000116,FBGN0261560,FBGN0036299,FBGN0050463,FBGN0005593,FBGN0086450,FBGN0003076,FBGN0001124,FBGN0036824,FBGN0011274,FBGN0031307,FBGN0030529,FBGN0005640,FBGN0038877,FBGN0086355,FBGN0032029,FBGN0003074,FBGN0001091,FBGN0010225,FBGN0261602,FBGN0266452,FBGN0261278,FBGN0267824,FBGN0000579,FBGN0027561,FBGN0250906,FBGN0020493,FBGN0035879,FBGN0037607,FBGN0031489,FBGN0026084,FBGN0033079,FBGN0027525,FBGN0020386,FBGN0032156,FBGN0270926,FBGN0032820,FBGN0000286,FBGN0020618,FBGN0003891,FBGN0010300,FBGN0026372,FBGN0036449,FBGN0026150,FBGN0032420,FBGN0259935,FBGN0035811,FBGN0027552,FBGN0085354,FBGN0035708,FBGN0034970,FBGN0039209,FBGN0030305,FBGN0015288,FBGN0035850,FBGN0003279,FBGN0286198,FBGN0000928,FBGN0036290,FBGN0034950,FBGN0004872,FBGN0029823,FBGN0261445,FBGN0263593,FBGN0086708,FBGN0262582,FBGN0087035,FBGN0025574,FBGN0260936,FBGN0027621,FBGN0034029,FBGN0027932,FBGN0285947,FBGN0000064,FBGN0040308,FBGN0035083,FBGN0265191,FBGN0053193,FBGN0039797,FBGN0022213,FBGN0262782,FBGN0001942,FBGN0036746,FBGN0030685,FBGN0002945,FBGN0026418,FBGN0039094,FBGN0014141,FBGN0261931,FBGN0085450,FBGN0260632,FBGN0265523,FBGN0038145,FBGN0010909
GO:0034637	FBGN0003076,FBGN0266064,FBGN0036862,FBGN0032820,FBGN0020618,FBGN0053138,FBGN0034950,FBGN0261445,FBGN0011754,FBGN0265191
