	GSM461176_untreat_single_featureCounts.counts	GSM461177_untreat_paired_featureCounts.counts	GSM461178_untreat_paired_featureCounts.counts	GSM461182_untreat_single_featureCounts.counts	GSM461181_treat_paired_featureCounts.counts	GSM461180_treat_paired_featureCounts.counts	GSM461179_treat_single_featureCounts.counts
FBgn0032597	617.185910306905	609.780312054724	746.127848666191	612.502451624492	768.497256377001	667.910177905971	758.32904053096
FBgn0051781	1.50288776860448	0	0	1.66667333775372	1.23156611598878	0	4.71989029376116
FBti0019793	0	0	0	0	0	0	0
FBgn0263996	0	0	0	0	0	0	0
FBgn0265682	0	0	1.51960865308797	0	0	0	0
FBgn0001967	0	0	1.51960865308797	0	0	0	0
FBgn0262353	22.0423539395323	20.222306267121	7.59804326543983	11.666713364276	25.8628884357645	17.9304745746569	28.8437740174293
FBgn0031824	203.390811351139	250.44548530819	246.17660180025	264.167724033965	280.797074445443	227.119344612321	186.173450476135
FBgn0053738	0	0	0	0	0	0	0
FBti0019755	0	0	0	0	0	0	0.524432254862352
FBti0061563	0	0	0	0	0	0	0
FBti0062843	5.00962589534826	0	1.51960865308797	6.66669335101488	1.23156611598878	0	4.71989029376116
FBgn0028516	1.00192517906965	0	0	0	0	0	9.43978058752233
FBgn0051601	1910.17035389629	1242.89405441767	1028.77505814055	1614.17312761448	922.443020875599	944.338327598599	1811.91344054942
FBgn0032005	4594.32790862389	4627.7970111296	4700.14956400108	4488.35129857077	3810.4655628693	3408.28437539937	3281.37261867373
FBgn0032790	159.807066061609	132.22277174656	156.51969126806	146.667253722327	155.177330614587	165.856889815577	152.609786164944
FBti0064060	0	0	0	0	0	0	0
FBgn0015623	4555.25282664017	4819.13113965698	4809.56138702341	4800.01921273071	5258.78731527211	4936.85733288888	4030.78631087203
FBgn0266149	0	0	0	0	0	0	0
FBgn0028986	2.0038503581393	0	1.51960865308797	0.83333666887686	0	1.49420621455475	1.0488645097247
FBgn0031741	1.00192517906965	1.55556202054777	1.51960865308797	1.66667333775372	1.23156611598878	0	3.14659352917411
FBgn0028527	5.00962589534826	1.55556202054777	6.07843461235186	2.50001000663058	7.3893966959327	5.97682485821898	9.43978058752233
FBgn0003557	2843.46365819967	3112.67960311608	2761.12892266083	2746.67766061813	2250.07129391151	2314.5254263453	2214.67741228371
FBgn0020258	6.51251366395273	4.6666860616433	4.5588259592639	1.66667333775372	0	2.98841242910949	3.14659352917411
FBgn0025681	3536.29491952633	4352.46253349265	3853.72754423108	4141.68324431799	3028.42107921642	3051.16909012079	2379.87357256535
FBgn0283678	4.50866330581343	3.11112404109553	6.07843461235186	0	0	0	2.62216127431176
FBgn0042189	0	0	0	0.83333666887686	0	0	1.57329676458705
FBgn0040106	0.500962589534826	0	0	0.83333666887686	0	0	0
FBgn0266911	6.01155107441791	20.222306267121	19.7549124901435	5.83335668213802	7.3893966959327	13.4478559309927	3.14659352917411
FBgn0265001	18.0346532232537	17.1111822260254	12.1568692247037	35.0001400928281	8.62096281192149	10.4594435018832	28.319341762567
FBgn0286882	0	0	0	0	0	0	0.524432254862352
FBti0019851	0.500962589534826	1.55556202054777	0	0.83333666887686	0	0	1.0488645097247
FBgn0028871	2.0038503581393	14.0000581849299	1.51960865308797	2.50001000663058	1.23156611598878	2.98841242910949	3.67102578403646
FBti0060629	0	0	0	0	0	0	0
FBgn0032391	119.229096309288	127.556085684917	135.245170124829	130.00052034479	139.166971106733	125.513322022599	137.401250773936
FBtr0472744_df_nrg	0	0	0	0	0	0	0
FBgn0262203	9.51828920116169	6.22224808219107	7.59804326543983	2.50001000663058	3.69469834796635	5.97682485821898	8.91534833265998
FBgn0000384	521.502055705753	656.447172671157	657.990546787089	955.003822532881	645.340644778123	693.311683553402	711.130137593349
FBgn0032266	0.500962589534826	0	0	0	0	0	0
FBgn0031229	456.877881655761	373.334884931464	431.568857476982	469.168544577672	376.859231492568	340.679016918482	480.379945453914
FBti0019848	0	0	0	0	0	0	0
FBtr0304263_df_nrg	0	0	0	0	0	0	0
FBgn0011603	7.01347625348756	1.55556202054777	10.6372605716158	8.3333666887686	3.69469834796635	8.96523728732847	5.76875480348587
FBgn0032374	3.50673812674378	3.11112404109553	3.03921730617593	2.50001000663058	7.3893966959327	4.48261864366424	4.71989029376116
FBgn0083022	0	0	1.51960865308797	1.66667333775372	0	0	0
FBgn0032648	2.50481294767413	4.6666860616433	1.51960865308797	1.66667333775372	1.23156611598878	4.48261864366424	3.14659352917411
FBgn0250841	0.500962589534826	0	0	0	0	0	0
FBgn0051642	40.5779697523209	65.3336048630062	39.5098249802871	43.3335067815967	173.650822354419	204.706251394	173.587076359438
FBti0062084	0	0	0	0	0	0	0
FBgn0032741	1.00192517906965	1.55556202054777	4.5588259592639	0	1.23156611598878	0	1.57329676458705
FBgn0032001	232.446641544159	325.112462294483	376.862945965815	270.834417384979	350.996343056803	354.126872849475	232.847921158884
FBgn0032036	8242.83844820602	9076.70438989621	8985.44596570914	10260.8744038808	6147.97805101601	6162.10642882377	5997.40726660585
FBgn0004837	382.735418404607	362.445950787629	341.911946944792	395.834917716508	300.502132301263	306.312273983723	353.467339777225
FBgn0053543	2.0038503581393	3.11112404109553	3.03921730617593	1.66667333775372	2.46313223197757	1.49420621455475	1.0488645097247
FBti0062852	0	0	0	0	0	0	0
FBgn0032018	1702.77184182887	1902.45235112992	1654.85382321279	2145.00858568904	1458.17428133072	1470.29891512187	1520.32910684596
FBgn0051717	606.164733337139	620.669246198559	657.990546787089	730.002921936129	560.362582774897	546.879474527037	669.699989459223
FBti0060352	2.50481294767413	0	0	0.83333666887686	2.46313223197757	4.48261864366424	2.62216127431176
FBgn0261514	3.50673812674378	4.6666860616433	1.51960865308797	0.83333666887686	0	0	1.0488645097247
FBti0059713	0.500962589534826	1.55556202054777	3.03921730617593	3.33334667550744	2.46313223197757	0	2.09772901944941
FBgn0265668	0	0	0	0	0	0	0
FBti0060562	0	0	0	0	0	0	0
FBtr0309701_df_nrg	0	0	0	0	0	0	0
FBgn0000055	0	0	0	0	0	0	0.524432254862352
FBgn0032634	597.147406725512	286.223411780789	392.059032496695	415.001661100676	378.090797608557	389.987821998789	577.399912603449
FBgn0287596	0	0	1.51960865308797	0	0	1.49420621455475	0
FBgn0031905	0.500962589534826	0	0	0	0	1.49420621455475	1.0488645097247
FBti0019832	0	0	0	0	0	0	0
FBgn0032894	0	0	0	0.83333666887686	0	1.49420621455475	1.0488645097247
FBgn0032126	0	0	0	0	0	0	0
FBgn0053867	0	0	0	0	0	0	0
FBti0019768	0	0	0	0	0	0	0
FBgn0085427	14.0269525069751	15.5556202054777	12.1568692247037	11.666713364276	23.3997562037869	26.8957118619854	17.3062644104576
FBgn0026319	527.513606780171	575.557947602673	536.421854540052	380.834857676725	694.603289417674	705.26533326984	682.286363575919
FBti0019137	2.50481294767413	4.6666860616433	12.1568692247037	5.83335668213802	3.69469834796635	4.48261864366424	6.29318705834822
FBgn0283652	76.1463136092935	48.2224226369808	63.8235634296945	65.0002601723951	64.0414380314168	68.7334858695183	80.2381349939398
FBti0063621	22.0423539395323	23.3334303082165	13.6764778777917	38.3334867683355	8.62096281192149	7.47103107277373	20.9772901944941
FBtr0309625_df_nrg	0	0	0	0	0	0	0
FBgn0003896	2.50481294767413	0	0	0.83333666887686	0	1.49420621455475	1.57329676458705
FBgn0032139	99.1905927278955	96.4448452739615	132.205952818653	141.667233709066	96.0621570471252	83.6755480150657	81.8114317585269
FBgn0085196	0.500962589534826	0	0	0	0	0	0.524432254862352
FBgn0031689	182.851345180211	175.778508321898	188.431472982908	229.167583941136	390.406458768445	333.207985845708	392.799758891901
FBgn0051974	42.5818201104602	45.1112985958852	44.068650939551	45.0001801193504	40.6416818276299	55.2856299385256	53.4920899959599
FBgn0266313	2.50481294767413	0	1.51960865308797	0	3.69469834796635	0	4.71989029376116
FBgn0284415	0	0	0	0	0	0	0
FBgn0051882	1.00192517906965	0	0	0.83333666887686	1.23156611598878	0	0.524432254862352
FBgn0031232	6.51251366395273	3.11112404109553	6.07843461235186	3.33334667550744	2.46313223197757	7.47103107277373	6.81761931321057
FBgn0051946	0	0	0	0	0	0	0
FBgn0032387	442.349966559251	435.557365753375	423.970814211542	500.002001326116	417.500913320198	421.366152504438	446.291848887861
FBgn0032213	4416.98715192856	4308.90679691731	4874.90455910619	4723.35223919404	4301.86044314882	4125.50335838565	4065.39883969295
FBgn0051602	0	0	0	0	0	0	0
FBgn0032729	302.581404079035	308.001280068458	399.657075762135	364.168124299188	268.481413285555	265.968706190745	254.874075863103
FBgn0028868	1.00192517906965	0	0	0	0	0	0
FBti0063478	4.50866330581343	6.22224808219107	0	8.3333666887686	2.46313223197757	1.49420621455475	3.67102578403646
FBgn0051773	5.00962589534826	3.11112404109553	1.51960865308797	1.66667333775372	2.46313223197757	7.47103107277373	5.24432254862352
FBgn0266307	0	0	0	0	0	0	0.524432254862352
FBtr0309699_df_nrg	0	0	0	0	0	0	0
FBgn0032553	0	0	0	0	0	0	0.524432254862352
FBgn0051852	516.99339239994	413.779497465706	449.804161314038	426.668374464952	484.005483583592	479.640194872073	514.468042019967
FBti0019208	0.500962589534826	0	0	0	0	0	0
FBgn0053126	8.51636402209203	6.22224808219107	12.1568692247037	9.16670335764546	4.92626446395514	4.48261864366424	4.71989029376116
FBgn0259922	0.500962589534826	0	0	0.83333666887686	0	0	0
FBgn0261529	3.00577553720895	0	6.07843461235186	2.50001000663058	6.15783057994392	4.48261864366424	6.81761931321057
FBgn0265958	0.500962589534826	0	0	0	0	0	0
FBgn0010309	291.059264519734	379.557133013655	402.696293068311	355.001420941542	438.437537292007	443.779245722759	345.076423699427
RR41919_transposable_element	0	0	1.51960865308797	0.83333666887686	0	7.47103107277373	0.524432254862352
FBgn0000227	0.500962589534826	0	0	0	0	0	2.09772901944941
FBgn0031779	575.10505278598	731.11414965745	743.088631360015	697.502791849932	730.318706781349	766.527788066584	570.057861035376
FBgn0262275	0	0	0	0	0	0	0
FBgn0266845	0	0	0	0	0	0	0
FBgn0259953	0	0	0	0	0	0	1.57329676458705
FBti0062514	0	0	0	0	0	0	0.524432254862352
FBgn0051740	0.500962589534826	0	0	0	0	0	0
FBti0060617	0	0	0	0	0	0	0
FBgn0266310	0.500962589534826	0	1.51960865308797	0	0	0	1.0488645097247
FBgn0262386	0	0	0	0	0	0	0
FBgn0028872	0	0	0	0	0	0	2.09772901944941
FBgn0032730	23.044279118602	15.5556202054777	25.8333471024954	20.8334167219215	19.7050578558205	20.9188870037664	28.8437740174293
FBgn0031260	1857.56928199513	2109.34209986277	2315.88358730606	2415.84300307402	2455.74283528164	2389.23573707304	1902.64022064061
FBgn0051958	0	0	0	0	0	0	0.524432254862352
FBti0062234	0	0	0	0	0	0	0
FBgn0000180	21.5413913499975	21.7778682876687	28.8725644086713	20.8334167219215	27.0944545517533	31.3783305056497	26.2216127431176
FBgn0032331	11.522139559301	12.4444961643821	3.03921730617593	3.33334667550744	3.69469834796635	1.49420621455475	12.0619418618341
FBgn0053309	0.500962589534826	0	0	0	0	0	0
